leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) X,leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) Y,leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) X,leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) Y
26.08470992543165,280127456.6661724,25.27512890678224,311055209.1029032
25.63423792519876,344316555.2197403,24.69564180310056,378089885.4543651
25.12022255792442,421171910.0380458,24.01626535333068,456071665.1326302
24.51849009535879,511833487.5427088,23.23355247266455,545087329.1384858
23.81573064733038,616910468.0059295,22.35606613643618,644686209.5607204
23.01096846447919,736340119.2931442,21.40205268013836,753918209.6605769
22.11487501821228,869346190.5686187,20.39576624482616,871451260.704891
21.14712193061853,1014514714.870025,19.36347575629873,995736712.0195329
20.13258042148293,1169968995.837405,18.3300645500954,1125181545.393693
19.09740033238074,1333597259.712633,17.31673455726897,1258292432.922714
18.06581150736475,1503278141.71265,16.33989464421612,1393772378.868125
17.05807022188358,1677060931.727949,15.41101575000852,1530567296.477099
16.08956014797007,1853279725.939001,14.53711743768273,1667871365.773555
15.17079609429174,2030601945.991015,13.72156734733666,1805104805.08613
14.30799173323157,2208025229.113546,12.96495737265757,1941877286.42445
13.50388682565493,2384841397.490719,12.26591361842502,2077947141.597016
12.75861679294114,2560584619.219162,11.62177287843028,2213182807.674438
12.07049838710388,2734976341.174072,11.02910861144296,2347529808.155956
11.43667590618781,2907874649.738068,10.48411724420526,2480984356.476145
10.8536177961793,3079231717.121267,9.982887728630761,2613573353.373262
10.31747772686733,3249060290.064804,9.521579941830812,2745339906.440968
9.824344066848896,3417408632.509543,9.096535380913942,2876333289.037595
9.370403132704025,3584342624.358176,8.704339578190293,3006602285.574389
8.95203892476745,3749933529.504443,8.341851341094765,3136191011.814645
8.565887900856897,3914250037.137221,8.006210050593205,3265136475.014049
8.208863076269237,4077353392.943329,7.694829091706283,3393467308.918341
7.878158001780002,4239294679.507636,7.405381052872535,3521203264.998711
7.571238159084008,4400113531.404988,7.135778523968711,3648355158.845853
7.285825009704914,4559837761.125332,6.884153021720427,3774925060.750856
7.01987623593694,4718483523.035404,6.6488336562983,3900906586.210052
6.771564496012044,4876055757.252321,6.428326522804915,4026285190.078665
6.539256163886781,5032548739.551779,6.221295376171439,4151038401.735634
6.321490939756593,5187946623.663841,6.026543867325813,4275135961.606577
6.116962824767699,5342223904.320855,5.842999438105486,4398539834.687443
5.924502695477994,5495345758.02451,5.669698860528851,4521204086.616665
5.743062548873629,5647268237.492681,5.505775340333705,4643074614.119226
5.571701387480489,5797938308.044968,5.350447069585091,4764088725.645949
5.409572655436576,5947293721.982838,5.203007097989105,4884174570.821659
5.255913105826822,6095262731.968493,5.062814390113507,5003250419.783625
5.110032967204863,6241763647.762116,4.929285941217537,5121223796.429887
4.97130727633238,6386704243.430309,4.801889834710466,5237990473.776356
4.839168250289108,6529981025.109152,4.680139137413717,5353433345.843439
4.713098581324578,6671478373.323004,4.563586543584144,5467421199.616336
4.592625550266925,6811067579.415051,4.451819694344628,5579807423.562174
4.477315867811262,6948605803.516427,4.344457115314325,5690428706.849259
4.366771166870891,7083934992.3369,4.241144731474273,5799103806.568495
4.260624082950745,7216880809.513553,4.141552934198475,5905632489.286701
4.15853487288114,7347251649.768589,4.045374190216865,6009794787.776775
