leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) X,leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) Y,leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) X,leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) Y
28.56657373302587,0.03073585414835137,27.51510378642946,0.04343371954391575
27.92706005349874,0.0407640820352454,27.04390432686612,0.0570527339834395
27.3899509555411,0.05374823585374008,26.62008648374195,0.07460962029123118
26.92660170530277,0.07051629724572403,26.20770772839822,0.09716514804083476
26.50355542498477,0.09210910500502879,25.77044350056584,0.126006754668125
26.08470992543165,0.1198120452833611,25.27512890678224,0.1626532634432017
25.63423792519876,0.1551754235845536,24.69564180310056,0.2088359638802456
25.12022255792442,0.2000143301378117,24.01626535333068,0.2664510389869315
24.51849009535879,0.2563793598438329,23.23355247266455,0.3374840972509132
23.81573064733038,0.3264935253576486,22.35606613643618,0.4239149661311486
23.01096846447919,0.4126580221258078,21.40205268013836,0.5276171242549399
22.11487501821228,0.5171381372102436,20.39576624482616,0.650268365165266
21.14712193061853,0.6420471005542234,19.36347575629873,0.7932863846204826
20.13258042148293,0.7892470251141536,18.3300645500954,0.9577962898232029
19.09740033238074,0.9602815504918822,17.31673455726897,1.144629416644891
18.06581150736475,1.15634644882958,16.33989464421612,1.354347020334636
17.05807022188358,1.378295758232716,15.41101575000852,1.58727968465287
16.08956014797007,1.626674891026744,14.53711743768273,1.84357345150373
15.17079609429174,1.901769756437465,13.72156734733666,2.123235616839005
14.30799173323157,2.20366169015314,12.96495737265757,2.426175681991727
13.50388682565493,2.532280526665469,12.26591361842502,2.752239263749362
12.75861679294114,2.887451149213726,11.62177287843028,3.101234470790207
12.07049838710388,3.268931444419795,11.02910861144296,3.472951300440045
11.43667590618781,3.676441423900472,10.48411724420526,3.86717512085222
10.8536177961793,4.109684354385783,9.982887728630761,4.283695450555824
10.31747772686733,4.568361227986546,9.521579941830812,4.722311182584436
9.824344066848896,5.052180006966704,9.096535380913942,5.182833235422215
9.370403132704025,5.560860963659683,8.704339578190293,5.665085418024011
8.95203892476745,6.094139226475931,8.341851341094765,6.168904109744519
8.565887900856897,6.651765411025779,8.006210050593205,6.694137195649899
8.208863076269237,7.233505000286968,7.694829091706283,7.240642568446488
7.878158001780002,7.839136956088786,7.405381052872535,7.808286408712236
7.571238159084008,8.468451899672434,7.135778523968711,8.396941381020646
